distance ,density1,density2,density3
-2.05,0.114286,0.107143,0.134694
-1.95,0.080102,0.168878,0.0780612
-1.85,0.116837,0.164796,0.0821429
-1.75,0.152551,0.17602,0.0826531
-1.65,0.137755,0.229592,0.119898
-1.55,0.118878,0.139286,0.0882653
-1.45,0.106633,0.139286,0.130102
-1.35,0.17449,0.120918,0.135204
-1.25,0.118878,0.153571,0.103571
-1.15,0.133673,0.0984694,0.106122
-1.05,0.140816,0.110204,0.118367
-0.95,0.185714,0.120408,0.158673
-0.85,0.175,0.0846939,0.131122
-0.75,0.172959,0.161224,0.154592
-0.65,0.121939,0.14898,0.0785714
-0.55,0.139796,0.0938776,0.130612
-0.45,0.0872449,0.0653061,0.156122
-0.35,0.109184,0.0780612,0.197959
-0.25,0.131122,0.080102,0.146939
-0.15,0.121429,0.160204,0.0984694
-0.05,0.113265,0.113776,0.0581633
0.05,0.116837,0.128061,0.0780612
0.15,0.203061,0.136224,0.0923469
0.25,0.187245,0.0989796,0.138776
0.35,0.187245,0.1,0.156633
0.45,0.177041,0.0933673,0.166327
0.55,0.136224,0.141837,0.194388
0.65,0.146429,0.191327,0.114286
0.75,0.158163,0.222959,0.0836735
0.85,0.158163,0.184184,0.162245
0.95,0.12449,0.246429,0.123469
1.05,0.106633,0.189796,0.159694
1.15,0.0989796,0.190306,0.145918
1.25,0.0647959,0.148469,0.116327
1.35,0.0683673,0.113265,0.115816
1.45,0.0729592,0.137755,0.0821429
1.55,0.0826531,0.0709184,0.0923469
1.65,0.1,0.0673469,0.147959
1.75,0.147959,0.0943878,0.0760204
1.85,0.161224,0.0923469,0.129592
1.95,0.128571,0.130102,0.141837
2.05,0.134694,0.131633,0.229592
2.15,0.12551,0.118367,0.187755
2.25,0.12551,0.132653,0.172449
2.35,0.0984694,0.14898,0.157143
2.45,0.102551,0.0826531,0.141327
2.55,0.161735,0.0617347,0.102551
2.65,0.141327,0.10051,0.0760204
2.75,0.17551,0.121429,0.110204
2.85,0.146939,0.110204,0.121429
2.95,0.166837,0.151531,0.0433673
3.05,0.212755,0.121429,0.0729592
3.15,0.131122,0.122449,0.134184
3.25,0.138776,0.111735,0.165816
3.35,0.120408,0.161735,0.182653
3.45,0.105612,0.139286,0.177551
3.55,0.129592,0.128061,0.12398
3.65,0.133673,0.118878,0.0770408
3.75,0.154082,0.12398,0.0693878
3.85,0.102551,0.122449,0.112755
3.95,0.0816327,0.103571,0.080102
4.05,0.0872449,0.152551,0.134184
4.15,0.176531,0.268878,0.110204
4.25,0.220408,0.230102,0.15102
4.35,0.140816,0.195918,0.12551
4.45,0.197449,0.12602,0.15
4.55,0.180612,0.140306,0.172449
4.65,0.0923469,0.0908163,0.120918
4.75,0.12398,0.137245,0.168878
4.85,0.129082,0.110204,0.156122
4.95,0.101531,0.0556122,0.169898
5.05,0.131122,0.12398,0.125
5.15,0.116837,0.122449,0.121939
5.25,0.094898,0.12449,0.155102
5.35,0.0729592,0.105612,0.130612
5.45,0.132143,0.143367,0.169898
5.55,0.220918,0.155612,0.134184
5.65,0.227041,0.142347,0.128061
5.75,0.223469,0.158163,0.133163
5.85,0.0841837,0.192347,0.109184
5.95,0.0882653,0.12449,0.0709184
6.05,0.0964286,0.0826531,0.0964286
6.15,0.113776,0.103571,0.134184
6.25,0.0744898,0.102551,0.228571
6.35,0.117347,0.0979592,0.159694
6.45,0.10051,0.112755,0.147449
6.55,0.142347,0.0959184,0.101531
6.65,0.125,0.197959,0.126531
6.75,0.0653061,0.165816,0.120408
6.85,0.0637755,0.17398,0.135204
6.95,0.117857,0.181633,0.163776
7.05,0.147959,0.177041,0.10051
7.15,0.153571,0.136735,0.0872449
7.25,0.114796,0.137245,0.106633
7.35,0.104082,0.244388,0.123469
7.45,0.0647959,0.160714,0.0964286
7.55,0.0979592,0.129082,0.115816
7.65,0.151531,0.0836735,0.10051
7.75,0.110204,0.0586735,0.130612
7.85,0.14949,0.0688776,0.192347
7.95,0.154082,0.0392857,0.116837
8.05,0.207653,0.0602041,0.132143
8.15,0.166837,0.114286,0.0806122
8.25,0.195918,0.173469,0.107653
8.35,0.131633,0.145918,0.130612
8.45,0.147449,0.114796,0.107653
8.55,0.146939,0.118878,0.17551
8.65,0.15102,0.130102,0.128571
8.75,0.0964286,0.17602,0.130102
8.85,0.0663265,0.123469,0.130612
8.95,0.0770408,0.167857,0.0852041
9.05,0.0714286,0.116837,0.094898
9.15,0.10102,0.0653061,0.122959
9.25,0.119388,0.0964286,0.120918
9.35,0.116327,0.0969388,0.12449
9.45,0.109184,0.103061,0.254082
9.55,0.12398,0.0734694,0.240816
9.65,0.178571,0.133673,0.164286
9.75,0.0877551,0.131122,0.112245
9.85,0.0852041,0.176531,0.119898
9.95,0.135714,0.14898,0.137755
10.05,0.164796,0.125,0.130612
10.15,0.165816,0.12398,0.139286
10.25,0.193367,0.0821429,0.161224
10.35,0.166327,0.132653,0.0852041
10.45,0.216837,0.161735,0.0913265
10.55,0.183163,0.185714,0.109694
10.65,0.17449,0.190816,0.0887755
10.75,0.140816,0.206122,0.0688776
10.85,0.0770408,0.192347,0.0729592
10.95,0.127551,0.137245,0.0867347
11.05,0.0964286,0.141327,0.152041
11.15,0.154082,0.0908163,0.177551
